Zeitstempel,Angestrebter Studienabschluss,Preference
25.06.2025 16:59:54,Staatsexamen,4
25.06.2025 17:01:07,Bachelor of Science / Master of Science,3
25.06.2025 17:08:38,Staatsexamen,4
25.06.2025 17:21:17,Bachelor of Science / Master of Science,3
25.06.2025 17:24:35,Staatsexamen,4
25.06.2025 17:31:05,Staatsexamen,4
25.06.2025 17:49:54,Bachelor of Science / Master of Science,3
25.06.2025 17:59:10,Staatsexamen,4
25.06.2025 18:22:36,Staatsexamen,2
25.06.2025 18:31:30,Bachelor of Science / Master of Science,3
25.06.2025 18:32:10,Bachelor of Science / Master of Science,4
25.06.2025 18:52:36,Staatsexamen,3
25.06.2025 19:05:00,Bachelor of Science / Master of Science,4
25.06.2025 19:10:40,Bachelor of Science / Master of Science,5
25.06.2025 19:23:00,Staatsexamen,6
25.06.2025 19:29:00,Staatsexamen,6
25.06.2025 19:46:50,Staatsexamen,4
25.06.2025 20:42:34,Bachelor of Science / Master of Science,2
25.06.2025 20:47:22,Bachelor of Science / Master of Science,4
25.06.2025 22:14:17,Bachelor of Science / Master of Science,3
26.06.2025 07:21:42,Bachelor of Science / Master of Science,3
26.06.2025 09:04:03,Bachelor of Science / Master of Science,3
26.06.2025 09:19:47,Bachelor of Science / Master of Science,5
26.06.2025 09:24:21,Staatsexamen,6
26.06.2025 09:43:20,Bachelor of Science / Master of Science,8
26.06.2025 09:48:57,Bachelor of Science / Master of Science,2
26.06.2025 11:02:55,Bachelor of Science / Master of Science,3
26.06.2025 11:21:43,Staatsexamen,3
26.06.2025 12:09:05,Bachelor of Science / Master of Science,4
26.06.2025 12:50:58,Bachelor of Science / Master of Science,4
26.06.2025 12:53:57,Bachelor of Science / Master of Science,3
26.06.2025 13:16:24,Bachelor of Science / Master of Science,5
26.06.2025 13:18:50,Bachelor of Science / Master of Science,3
26.06.2025 13:19:10,Bachelor of Science / Master of Science,3
26.06.2025 13:19:11,Bachelor of Science / Master of Science,2
26.06.2025 13:19:51,Bachelor of Science / Master of Science,3
26.06.2025 13:20:18,Bachelor of Science / Master of Science,6
26.06.2025 13:20:20,Bachelor of Science / Master of Science,4
26.06.2025 13:20:47,Bachelor of Science / Master of Science,4
26.06.2025 13:20:59,Bachelor of Science / Master of Science,4
26.06.2025 13:21:12,Bachelor of Science / Master of Science,2
26.06.2025 13:21:22,Bachelor of Science / Master of Science,3
26.06.2025 13:22:13,Bachelor of Science / Master of Science,4
26.06.2025 13:53:07,Bachelor of Science / Master of Science,3
26.06.2025 13:53:22,Bachelor of Science / Master of Science,3
26.06.2025 14:07:46,Bachelor of Science / Master of Science,5
26.06.2025 14:09:42,Bachelor of Science / Master of Science,3
26.06.2025 15:01:20,Bachelor of Science / Master of Science,3
26.06.2025 16:17:03,Staatsexamen,6
26.06.2025 16:19:07,Bachelor of Science / Master of Science,3
26.06.2025 16:19:13,Bachelor of Science / Master of Science,3
26.06.2025 16:19:19,Bachelor of Science / Master of Science,3
26.06.2025 16:19:21,Bachelor of Science / Master of Science,5
26.06.2025 16:20:33,Bachelor of Science / Master of Science,4
26.06.2025 16:20:41,Bachelor of Science / Master of Science,6
26.06.2025 16:21:00,Bachelor of Science / Master of Science,4
26.06.2025 16:22:23,Bachelor of Science / Master of Science,4
26.06.2025 16:24:40,Bachelor of Science / Master of Science,2
26.06.2025 16:32:35,Bachelor of Science / Master of Science,4
26.06.2025 16:32:56,Bachelor of Science / Master of Science,3
26.06.2025 16:38:52,Staatsexamen,2
26.06.2025 20:02:24,Bachelor of Science / Master of Science,4
28.06.2025 23:15:10,Bachelor of Science / Master of Science,4
01.07.2025 20:12:41,Bachelor of Science / Master of Science,4